"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 강북구청",서울특별시 강북구 한천로124길 13,서울특별시 강북구 번1동 460-46,어린이보호,1,200,,30,2005-01,02-901-7266,37.637287,127.032616,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 한천로124길 13,서울특별시 강북구 번1동 460-46,교통단속,1,200,,30,2014-01,02-901-7266,37.637333,127.032661,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 도봉로 102길 21 (번창교),서울특별시 강북구 번동 655-2 (번창교),생활방범,1,200,,30,2005-01,02-901-7266,37.642090,127.031586,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 도봉로98길 56,서울특별시 강북구 번1동 471-1,생활방범,1,200,,30,2005-01,02-901-7266,37.640904,127.032913,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 한천로131길 33,서울특별시 강북구 번1동 415-1,생활방범,1,200,,30,2005-01,02-901-7266,37.638119,127.026909,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 덕릉로51가길 12,서울특별시 강북구 번1동 457-77,어린이보호,1,200,,30,2005-01,02-901-7266,37.637123,127.034493,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 덕릉로51가길 38,서울특별시 강북구 번1동 457-60,어린이보호,1,200,,30,2005-01,02-901-7266,37.637890,127.033318,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 덕릉로 187-14,서울특별시 강북구 번1동 457-60,어린이보호,1,200,,30,2005-01,02-901-7266,37.636356,127.033920,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 덕릉로 187-14,서울특별시 강북구 번1동 454-58,교통단속,1,200,,30,2014-01,02-901-7266,37.636402,127.033966,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 인수봉로61길 6,서울특별시 강북구 인수동 410-51,생활방범,1,200,,30,2005-01,02-901-7266,37.638493,127.013214,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 인수봉로61길 12-16,서울특별시 강북구 인수동 410-70,생활방범,1,200,,30,2005-01,02-901-7266,37.639103,127.012550,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 인수봉로55길 21,서울특별시 강북구 인수동 435-63,생활방범,1,200,,30,2005-01,02-901-7266,37.636757,127.011635,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 인수봉로 185-17,서울특별시 강북구 인수동 440-45,생활방범,1,200,,30,2005-01,02-901-7266,37.636025,127.012604,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 삼각산로4나길 5-12,서울특별시 강북구 인수동 516-29,생활방범,1,200,,30,2005-01,02-901-7266,37.638073,127.008324,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 인수봉로55길 47,서울특별시 강북구 인수동 518-42,생활방범,1,200,,30,2005-01,02-901-7266,37.636726,127.010307,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 삼양로41길 40,서울특별시 강북구 삼양동 791-2175,생활방범,1,200,,30,2006-01,02-901-7266,37.621891,127.017853,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 삼양로41길 40,서울특별시 강북구 삼양동 791-2175,생활방범,1,200,,30,2019-02,02-901-7266,37.621891,127.017853,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 삼양로41길 40,서울특별시 강북구 삼양동 791-2175,생활방범,1,200,,30,2019-02,02-901-7266,37.621891,127.017853,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 솔매로22길 43,서울특별시 강북구 삼양동 791-3068,생활방범,1,200,,30,2006-01,02-901-7266,37.624077,127.015411,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 도봉로59길 38,서울특별시 강북구 미아동 222-86,생활방범,1,200,,30,2006-01,02-901-7266,37.627850,127.022461,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 오현로6길 62,서울특별시 강북구 송중동 75-45,생활방범,1,200,,30,2006-01,02-901-7266,37.613808,127.032715,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 오패산로38길 5,서울특별시 강북구 송중동 85-2,생활방범,1,200,,30,2006-01,02-901-7266,37.615448,127.033958,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 솔샘로64나길 52,서울특별시 강북구 송천동 436-75,생활방범,1,200,,30,2006-01,02-901-7266,37.616325,127.024704,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 도봉로13가길 9-2,서울특별시 강북구 송천동 61-17,생활방범,1,200,,30,2006-01,02-901-7266,37.614677,127.028976,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 도봉로13가길 9-2,서울특별시 강북구 송천동 61-17,생활방범,1,200,,30,2019-02,02-901-7266,37.614677,127.028976,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 솔샘로59길 17,서울특별시 강북구 송천동 325-29,생활방범,1,200,,30,2006-01,02-901-7266,37.619003,127.025688,2019-04-26
