"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"관악구청",서울특별시 관악구 관악산공원 돌산화장실앞,서울특별시 관악구 관악산공원 돌산화장실앞,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2012-01,02-879-5831,37.46667239,126.9470937,2018-06-30
"관악구청",서울특별시 관악구 인헌동산29-4,서울특별시 관악구 관악산공원(인헌동산29-4),다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2017-12,02-879-5831,37.46831315,126.9638012,2018-06-30
"관악구청",서울특별시 관악구 남현동496-3,서울특별시 관악구 관악산등산로입구(남현동496-3),다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2017-08,02-879-5831,37.47103675,126.9724201,2018-06-30
"관악구청",서울특별시 관악구 남현동산57-47,서울특별시 관악구 관음사주변(남현동산57-47),다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2017-08,02-879-5831,37.46800499,126.9769017,2018-06-30
"관악구청",서울특별시 관악구 은천동산103-52,서울특별시 관악구 국사봉배드민턴장(은천동산103-52),다목적,13,200,반경 30~150미터 이내(기종따라 다름),30,2017-12,02-879-5831,37.49184594,126.9414042,2018-06-30
"관악구청",서울특별시 관악구 인헌동180-255,서울특별시 관악구 군인APT둘레길(인헌동180-255),다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2017-08,02-879-5831,37.46815615,126.9693536,2018-06-30
"관악구청",서울특별시 관악구 청림동1706-2,서울특별시 관악구 까치산근린공원(청림동1706-2),다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2017-08,02-879-5831,37.48512642,126.9622429,2018-06-30
"관악구청",서울특별시 관악구 행운동100-2,서울특별시 관악구 까치산근린공원(행운동100-2),다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2017-08,02-879-5831,37.48331417,126.9603182,2018-06-30
"관악구청",서울특별시 관악구 행운동산67-32),서울특별시 관악구 까치산근린공원4(행운동산67-32),다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2017-08,02-879-5831,37.48025556,126.9649666,2018-06-30
"관악구청",서울특별시 관악구 행운동1690-172,서울특별시 관악구 까치산근린공원미술고뒤(행운동1690-172),다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2017-08,02-879-5831,37.47693819,126.9676934,2018-06-30
"관악구청",서울특별시 관악구 낙성대동232-2,"서울특별시 관악구 낙성대공원(낙성대동232-2,반려견놀이터)",다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2017-12,02-879-5831,37.47081228,126.9592343,2018-06-30
"관악구청",서울특별시 관악구 낙성대역8길 50-8 탑골공원,서울특별시 관악구 낙성대동 1510 탑골공원,다목적,1,41,반경 30~150미터 이내(기종따라 다름),30,2011-11,02-879-5831,37.47447325,126.9611728,2018-06-30
"관악구청",서울특별시 관악구 낙성대역8길 28 약수어린이공원,서울특별시 관악구 낙성대동 1510-19 약수어린이공원,다목적,1,41,반경 30~150미터 이내(기종따라 다름),30,2010-05,02-879-5831,37.47404095,126.9621846,2018-06-30
"관악구청",서울특별시 관악구 낙성대역8길 43,서울특별시 관악구 낙성대동 1510-36와 1510-51 (힐하우스앞),다목적,1,41,반경 30~150미터 이내(기종따라 다름),30,2011-01,02-879-5831,37.47409226,126.9613847,2018-06-30
"관악구청",서울특별시 관악구 관악로 117(청룡초교 입구),서울특별시 관악구 낙성대동 1591-2,다목적,5,200,반경 30~150미터 이내(기종따라 다름),30,2016-12,02-879-5831,37.47570772,126.9527997,2018-06-30
"관악구청",서울특별시 관악구 관악로12길16,서울특별시 관악구 낙성대동 1597-10,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2015-12,02-879-5831,37.47807099,126.9534766,2018-06-30
"관악구청",서울특별시 관악구 관악로6길 77,서울특별시 관악구 낙성대동 1597-12,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2014-02,02-879-5831,37.47737694,126.953519,2018-06-30
"관악구청",서울특별시 관악구 관악로12길 5,서울특별시 관악구 낙성대동 1598-23,다목적,4,200,반경 30~150미터 이내(기종따라 다름),30,2016-12,02-879-5831,37.47817787,126.9527374,2018-06-30
"관악구청",서울특별시 관악구 남부순환로226길23-19,서울특별시 관악구 낙성대동 1602-34,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2015-12,02-879-5831,37.47925711,126.9548923,2018-06-30
"관악구청",서울특별시 관악구 남부순환로226길31,서울특별시 관악구 낙성대동 1603-3,다목적,5,200,반경 30~150미터 이내(기종따라 다름),30,2015-12,02-879-5831,37.47917275,126.9536199,2018-06-30
"관악구청",서울특별시 관악구 관악로14길 38-9,서울특별시 관악구 낙성대동 1604-25,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2013-01,02-879-5831,37.47841637,126.9543908,2018-06-30
"관악구청",서울특별시 관악구 관악로10길 23,서울특별시 관악구 낙성대동 1605-6,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2015-01,02-879-5831,37.47685179,126.9541832,2018-06-30
"관악구청",서울특별시 관악구 관악로6길 36,서울특별시 관악구 낙성대동 1607-1와 1607-3 (1607-1코너),다목적,1,41,반경 30~150미터 이내(기종따라 다름),30,2011-01,02-879-5831,37.47583209,126.9537798,2018-06-30
"관악구청",서울특별시 관악구 봉천로522-8,서울특별시 관악구 낙성대동 1612-13,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2013-01,02-879-5831,37.47858449,126.9555609,2018-06-30
"관악구청",서울특별시 관악구 봉천로58길 13,서울특별시 관악구 낙성대동 1612-29와 1612-23,다목적,3,200,반경 30~150미터 이내(기종따라 다름),30,2016-06,02-879-5831,37.47865552,126.9564428,2018-06-30
"관악구청",서울특별시 관악구 낙성대동 1613-19 모래내공원1,서울특별시 관악구 낙성대동 1613-19 모래내공원1,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2015-11,02-879-5831,37.47782433,126.9553575,2018-06-30
"관악구청",서울특별시 관악구 낙성대동 1613-19 모래내공원2,서울특별시 관악구 낙성대동 1613-19 모래내공원2,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2015-11,02-879-5831,37.47766896,126.9558175,2018-06-30
"관악구청",서울특별시 관악구 관악로 24가길 15,서울특별시 관악구 낙성대동 1613-19와 1610-24 (사거리 공원입구),다목적,1,41,반경 30~150미터 이내(기종따라 다름),30,2011-01,02-879-5831,37.47773478,126.9552403,2018-06-30
"관악구청",서울특별시 관악구 남부순환로234길 72,서울특별시 관악구 낙성대동 1617-5,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2013-01,02-879-5831,37.47638763,126.9561337,2018-06-30
"관악구청",서울특별시 관악구 관악로12길 63,서울특별시 관악구 낙성대동 1619-22,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2010-04,02-879-5831,37.47762777,126.9559032,2018-06-30
"관악구청",서울특별시 관악구 봉천로 536,서울특별시 관악구 낙성대동 1620-1와 1612-52 (사거리 1620-1모퉁이),다목적,1,41,반경 30~150미터 이내(기종따라 다름),30,2009-09,02-879-5831,37.478689,126.9571594,2018-06-30
"관악구청",서울특별시 관악구 관악로14길 90,서울특별시 관악구 낙성대동 1621-11,다목적,4,200,반경 30~150미터 이내(기종따라 다름),30,2015-01,02-879-5831,37.47797037,126.9575011,2018-06-30
"관악구청",서울특별시 관악구 관악로14나길 16,서울특별시 관악구 낙성대동 1621-29,다목적,5,200,반경 30~150미터 이내(기종따라 다름),30,2013-02,02-879-5831,37.47731457,126.957244,2018-06-30
"관악구청",서울특별시 관악구 낙성대로4길 30,서울특별시 관악구 낙성대동 1624-20,다목적,5,200,반경 30~150미터 이내(기종따라 다름),30,2015-01,02-879-5831,37.47654375,126.9577618,2018-06-30
"관악구청",서울특별시 관악구 낙성대로 12,서울특별시 관악구 낙성대동 1627-13,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2013-01,02-879-5831,37.47726713,126.9591336,2018-06-30
"관악구청",서울특별시 관악구 남부순환로240길 20,서울특별시 관악구 낙성대동 1628-32,다목적,1,200,반경 30~150미터 이내(기종따라 다름),30,2013-01,02-879-5831,37.47711289,126.9605956,2018-06-30
