"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 구로구청",서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척2동 산 9-14,생활방범,1,41,,30,2009-01,02-860-2114,37.5058180,126.8536139,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척2동 산 9-14,생활방범,2,200,,30,2015-12,02-860-2114,37.5041367,126.8527402,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척2동 산 9-14,생활방범,1,41,,30,2009-01,02-860-2114,37.5052718,126.8518027,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 개봉로3가길 88-9,서울특별시 구로구 개봉3동 312-25,생활방범,2,41,,30,2009-01,02-860-2114,37.4829713,126.8516142,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 구일로 68,서울특별시 구로구 구로1동 685-221,생활방범,3,41,,30,2010-01,02-860-2114,37.4920444,126.8735118,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 구일로 62,서울특별시 구로구 구로1동 685-219,생활방범,3,41,,30,2010-01,02-860-2114,37.4913297,126.8747112,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 구로중앙로27가길 23,서울특별시 구로구 구로2동 513-34,생활방범,3,41,,30,2010-01,02-860-2114,37.4976342,126.8861334,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 구로중앙로27나길 18,서울특별시 구로구 구로2동 511-25,생활방범,3,41,,30,2010-01,02-860-2114,37.4966878,126.8852666,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 가마산로26길 34,서울특별시 구로구 구로4동 90 - 1,생활방범,3,41,,30,2010-01,02-860-2114,37.4947222,126.8917648,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 가마산로27길 69,서울특별시 구로구 구로5동 105,생활방범,3,41,,30,2010-01,02-860-2114,37.4996026,126.8899298,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 구로동로7나길 32,서울특별시 구로구 가리봉동 10-7,생활방범,3,200,,30,2018-07,02-860-2114,37.4851184,126.8831105,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 구로동로7나길 15,서울특별시 구로구 가리봉동 13-21,생활방범,3,200,,30,2018-07,02-860-2114,37.4859583,126.8834147,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 고척로 211,서울특별시 구로구 고척2동 169-13,생활방범,3,130,,30,2013-02,02-860-2114,37.5055516,126.8568181,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 고척로27길 32,서울특별시 구로구 개봉1동 119-13,생활방범,3,41,,30,2010-01,02-860-2114,37.5039106,126.8486606,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 개봉로16길 31,서울특별시 구로구 개봉2동 262-32,생활방범,3,130,,30,2013-11,02-860-2114,37.4900407,126.8578900,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 개봉로2길 87-15,서울특별시 구로구 개봉3동 276-21,생활방범,3,130,,30,2013-11,02-860-2114,37.4890553,126.8590183,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 고척로10길 45,서울특별시 구로구 오류1동 13-46,생활방범,3,41,,30,2010-01,02-860-2114,37.4972799,126.8417637,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 경인로25길 41,서울특별시 구로구 오류1동 16-4,생활방범,3,41,,30,2010-01,02-860-2114,37.4977948,126.8427717,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 고척로16길 75,서울특별시 구로구 오류1동 30-5,생활방범,3,41,,30,2010-01,02-860-2114,37.4974680,126.8434929,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 경인로25길 56,서울특별시 구로구 오류1동 27-56,생활방범,3,41,,30,2010-01,02-860-2114,37.4984947,126.8430258,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 서해안로24길 21-4,서울특별시 구로구 오류2동 165-3,생활방범,4,41,,30,2010-01,02-860-2114,37.4896496,126.8392742,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 서해안로20길 24,서울특별시 구로구 오류2동 187-24,생활방범,5,41,,30,2010-01,02-860-2114,37.4887581,126.8381396,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 서해안로24길 22,서울특별시 구로구 오류2동 332-59,생활방범,3,130,,30,2013-02,02-860-2114,37.4905909,126.8391754,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 부일로 883,서울특별시 구로구 수궁동 8-2,생활방범,3,41,,30,2010-01,02-860-2114,37.4931731,126.8255757,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 부일로9길 57,서울특별시 구로구 수궁동 7-5,생활방범,3,41,,30,2010-01,02-860-2114,37.4953218,126.8254059,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 부일로 893,서울특별시 구로구 수궁동 산 1-2,생활방범,3,41,,30,2010-01,02-860-2114,37.4943471,126.8267609,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 고척로21다길 14,서울특별시 구로구 개봉1동 7-33,생활방범,3,41,,30,2010-01,02-860-2114,37.5035237,126.8445373,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 고척로21길 55,서울특별시 구로구 개봉1동 산 1-2,생활방범,3,41,,30,2010-01,02-860-2114,37.5046968,126.8439670,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 경인로2길 11,서울특별시 구로구 오류2동 108-80,생활방범,3,41,,30,2010-01,02-860-2114,37.4898092,126.8268299,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 경인로2길 10,서울특별시 구로구 오류2동 108-28,생활방범,3,41,,30,2010-01,02-860-2114,37.4898474,126.8256362,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 디지털로27길 64,서울특별시 구로구 구로3동 252-60,생활방범,3,130,,30,2013-02,02-860-2114,37.4841313,126.8903667,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 디지털로27다길 9,서울특별시 구로구 구로3동 797-14,생활방범,3,41,,30,2010-01,02-860-2114,37.4847508,126.8895495,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 우마3길 44,서울특별시 구로구 가리봉동 131-43,생활방범,3,41,,30,2010-01,02-860-2114,37.4805978,126.8899962,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 개봉로15길 58-2,서울특별시 구로구 개봉2동 340-8,생활방범,3,41,,30,2010-01,02-860-2114,37.4900716,126.8528254,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 개봉로15길 58-2,서울특별시 구로구 개봉2동 340-8,생활방범,3,41,,30,2010-01,02-860-2114,37.4898905,126.8529933,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 도림로6길 30,서울특별시 구로구 구로3동 797-1,생활방범,3,41,,30,2010-01,02-860-2114,37.4850038,126.8882727,2019-05-03
"서울특별시 구로구청",서울특별시 구로구 오리로21길 104,서울특별시 구로구 수궁동 237-12,생활방범,3,41,,30,2010-01,02-860-2114,37.4961465,126.8253872,2019-05-03
