"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 금천구청",서울특별시 금천구 독산로58가길 68,서울특별시 금천구 독산2동 378-48,다목적,4,130,360도전방면,30,2006-02,02-2627-1910,37.465061,126.906891,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 독산로64길 70,서울특별시 금천구 독산2동 377-5,다목적,4,200,360도전방면,30,2006-02,02-2627-1910,37.466612,126.905941,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 독산로68길 61,서울특별시 금천구 독산2동 945-3,다목적,3,130,270도전방면,30,2006-02,02-2627-1910,37.466978,126.904855,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 독산로58길 42,서울특별시 금천구 독산2동 379-3,다목적,1,200,360도전방면,30,2006-02,02-2627-1910,37.465161,126.905339,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 독산로60길 24,서울특별시 금천구 독산2동 378-273,다목적,4,130,360도전방면,30,2006-02,02-2627-1910,37.464826,126.904260,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 독산로56길 18-4,서울특별시 금천구 독산2동 378-460,다목적,3,130,270도전방면,30,2006-02,02-2627-1910,37.463823,126.904416,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 독산로68길 15,서울특별시 금천구 독산2동 1038-16,다목적,3,130,270도전방면,30,2006-02,02-2627-1910,37.466058,126.902780,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 독산로67길 19,서울특별시 금천구 독산2동 1042-19,다목적,4,130,360도전방면,30,2006-02,02-2627-1910,37.464831,126.901375,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 시흥대로94길 72,서울특별시 금천구 독산2동 1062,다목적,3,130,270도전방면,30,2006-02,02-2627-1910,37.463610,126.901528,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 시흥대로100길 35,서울특별시 금천구 독산2동 1052-13,다목적,1,200,360도전방면,30,2006-02,02-2627-1910,37.464110,126.899426,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 시흥대로84길 31,서울특별시 금천구 독산2동 1069-15,다목적,4,200,360도전방면,30,2006-02,02-2627-1910,37.460593,126.901082,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 시흥대로88길 21,서울특별시 금천구 독산2동 1069,다목적,1,200,360도전방면,30,2006-02,02-2627-1910,37.461572,126.900183,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 독산로50길 141,서울특별시 금천구 시흥4동 3-107,다목적,3,130,270도전방면,30,2006-02,02-2627-1910,37.462139,126.911859,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 독산로40길 78,서울특별시 금천구 시흥4동 796-36,다목적,5,200,360도전방면,30,2006-02,02-2627-1910,37.461401,126.908381,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 독산로44다길 11,서울특별시 금천구 시흥4동 791-21,다목적,1,200,360도전방면,30,2006-02,02-2627-1910,37.461587,126.906498,2018-08-09
"서울특별시 금천구청",,서울특별시 금천구 시흥4동 798-39,다목적,3,130,270도전방면,30,2006-02,02-2627-1910,37.460219,126.907247,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 독산로50다길 29,서울특별시 금천구 시흥4동 3-222,다목적,1,200,360도전방면,30,2006-02,02-2627-1910,37.460938,126.910652,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 독산로32가길 20,서울특별시 금천구 시흥4동 811-9,다목적,1,200,360도전방면,30,2006-02,02-2627-1910,37.458250,126.906397,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 독산로32나길 36,서울특별시 금천구 시흥4동 807-14,다목적,1,200,360도전방면,30,2006-02,02-2627-1910,37.458659,126.907389,2018-08-09
"서울특별시 금천구청",,서울특별시 금천구 시흥4동 817,다목적,4,130,360도전방면,30,2006-02,02-2627-1910,37.456286,126.906486,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 독산로24길 14,서울특별시 금천구 시흥4동 820-10,다목적,5,200,360도전방면,30,2006-02,02-2627-1910,37.455079,126.906697,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 독산로24길 51,서울특별시 금천구 시흥4동 169-29,다목적,1,200,360도전방면,30,2006-02,02-2627-1910,37.455331,126.908790,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 독산로24다길 22,서울특별시 금천구 시흥4동 823,다목적,3,200,360도전방면,30,2006-02,02-2627-1910,37.454253,126.907573,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 독산로20길 18,서울특별시 금천구 시흥5동 834-26,다목적,1,200,360도전방면,30,2006-02,02-2627-1910,37.453056,126.907869,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 독산로22길 49,서울특별시 금천구 시흥5동 824-4,다목적,4,130,360도전방면,30,2006-02,02-2627-1910,37.453222,126.908855,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 금하로21길 20,서울특별시 금천구 시흥5동 832-14,다목적,1,200,360도전방면,30,2006-02,02-2627-1910,37.452189,126.908131,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 탑골로 15-5,서울특별시 금천구 시흥5동 827-19,다목적,3,130,270도전방면,30,2006-02,02-2627-1910,37.452034,126.910699,2018-08-09
"서울특별시 금천구청",서울특별시 금천구 금하로23가길 25,서울특별시 금천구 시흥5동 827-29,다목적,1,200,360도전방면,30,2006-02,02-2627-1910,37.451651,126.910138,2018-08-09
