"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 서대문구청",서울특별시 서대문구 통일로39가길29,서울특별시 서대문구 홍제1동330-113,생활방범,1,200,,30,2016-11,02-330-1080,37.589249,126.942626,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 홍제내2나길2,서울특별시 서대문구 홍제1동361-5,생활방범,1,200,,30,2016-11,02-330-1080,37.584930,126.936467,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 모래내로24길27,서울특별시 서대문구 홍제1동156-359,생활방범,1,200,,30,2016-05,02-330-1080,37.583181,126.943752,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 통일로36길15,서울특별시 서대문구 홍제2동177-2,생활방범,1,41,,30,2006-04,02-330-1080,37.587668,126.946678,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 수색로4가길 12-5,서울특별시 서대문구 남가좌1동289-54,생활방범,1,200,,30,2006-04,02-330-1080,37.570778,126.914887,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 세무서길74,서울특별시 서대문구 홍제3동268-15,생활방범,1,200,,30,2016-11,02-330-1080,37.591092,126.946809,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 봉원사1안길35,서울특별시 서대문구 대신동140-1,생활방범,1,200,,30,2016-04,02-330-1080,37.569070,126.945285,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 북아현로14길58,서울특별시 서대문구 북아현3동3-392,생활방범,1,200,,30,2016-11,02-330-1080,37.563971,126.958104,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 북아현로22나길121,서울특별시 서대문구 북아현3동1-696,생활방범,1,200,,30,2015-12,02-330-1080,37.564369,126.959045,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 신촌로7안길79,서울특별시 서대문구 창천동90-46,생활방범,1,200,,30,2016-11,02-330-1080,37.559953,126.931917,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 연희로2안길7-8,서울특별시 서대문구 창천동465,생활방범,1,200,,30,2016-04,02-330-1080,37.560465,126.927332,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 신촌로1길29,서울특별시 서대문구 창천동511-5,생활방범,1,200,,30,2016-11,02-330-1080,37.559210,126.929168,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 성산로7안길43,서울특별시 서대문구 연희1동446-196,생활방범,1,200,,30,2016-04,02-330-1080,37.567177,126.921483,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 연희로31길19-2,서울특별시 서대문구 연희2동151-84,생활방범,1,200,,30,2016-11,02-330-1080,37.575905,126.934274,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 연희로82,서울특별시 서대문구 연희3동194-34,생활방범,1,200,,30,2016-11,02-330-1080,37.564813,126.930477,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 성산로18길19,서울특별시 서대문구 연희3동344-140,생활방범,1,200,,30,2016-04,02-330-1080,37.561889,126.930596,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 북아현로4길26,서울특별시 서대문구 북아현1동117-29,생활방범,1,200,,30,2016-11,02-330-1080,37.558822,126.958953,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 신촌로37길,서울특별시 서대문구 북아현1동907-3,생활방범,1,41,,30,2006-04,02-330-1080,37.558307,126.959933,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 거북골로14길50,서울특별시 서대문구 북가좌2동75-155,생활방범,1,200,,30,2016-11,02-330-1080,37.577343,126.913862,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 북아현로97,서울특별시 서대문구 북아현3동187-1,생활방범,1,200,,30,2016-11,02-330-1080,37.565066,126.952545,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 경기대로30,서울특별시 서대문구 충정로3가120-2,생활방범,1,200,,30,2016-11,02-330-1080,37.562196,126.961792,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 홍은중앙로106-1,서울특별시 서대문구 홍은1동9-65,생활방범,1,200,,30,2016-11,02-330-1080,37.599910,126.948745,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 포방터길54,서울특별시 서대문구 홍은1동9-152,생활방범,1,200,,30,2016-04,02-330-1080,37.598978,126.949209,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 홍은중앙로9가길5,서울특별시 서대문구 홍은1동11-413,생활방범,1,200,,30,2016-04,02-330-1080,37.599567,126.948089,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 홍은중앙로3길,서울특별시 서대문구 홍은1동19-13,생활방범,4,200,,30,2017-11,02-330-1080,37.598359,126.945951,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 명지대5길20,서울특별시 서대문구 남가좌2동5-42,생활방범,1,200,,30,2016-11,02-330-1080,37.582802,126.922226,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 성산로7길19-13,서울특별시 서대문구 연희1동446-140,생활방범,1,200,,30,2016-04,02-330-1080,37.568281,126.919019,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 거북골로22길29-51,서울특별시 서대문구 북가좌2동318-1,생활방범,1,200,,30,2016-11,02-330-1080,37.580292,126.908650,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 증가로8길21,서울특별시 서대문구 남가좌2동342-27,생활방범,1,200,,30,2006-04,02-330-1080,37.578164,126.924830,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 독립문로3길9,서울특별시 서대문구 영천동69-54,생활방범,1,200,,30,2006-04,02-330-1080,37.570520,126.960510,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 증가로12나길63-5,서울특별시 서대문구 북가좌2동5-15,생활방범,1,200,,30,2016-04,02-330-1080,37.581650,126.920594,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 증가로23다길44,서울특별시 서대문구 북가좌2동75-126,생활방범,1,200,,30,2016-11,02-330-1080,37.578263,126.914242,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 연희로39길13,서울특별시 서대문구 홍은2동265-340,생활방범,3,200,,30,2008-02,02-330-1080,37.586600,126.933971,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 독립문로8길 114,서울특별시 서대문구 북아현동 1-1832,생활방범,5,200,,30,2008-02,02-330-1080,37.565853,126.958582,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 신촌로275,서울특별시 서대문구 북아현1동135-4,생활방범,5,200,,30,2008-02,02-330-1080,37.557792,126.956827,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 이화여대7길22,서울특별시 서대문구 대현동37-2,생활방범,5,200,,30,2008-02,02-330-1080,37.563842,126.950651,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 연희로15길 31,서울특별시 서대문구 연희1동124-44,생활방범,5,200,,30,2008-02,02-330-1080,37.558714,126.944540,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 연희로2안길7-22,서울특별시 서대문구 창천동470,생활방범,4,200,,30,2008-02,02-330-1080,37.568737,126.930414,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 증가로23가길1,서울특별시 서대문구 북가좌2동295-24,생활방범,1,200,,30,2017-11,02-330-1080,37.559613,126.927697,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 수색로8가길23,서울특별시 서대문구 북가좌1동372-19,생활방범,3,200,,30,2008-02,02-330-1080,37.580516,126.914255,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 증가로32안길56,서울특별시 서대문구 북가좌2동337-37,생활방범,1,200,,30,2017-11,02-330-1080,37.576465,126.905502,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 증가로24라길2,서울특별시 서대문구 북가좌2동3-107,생활방범,1,200,,30,2017-11,02-330-1080,37.585205,126.913803,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 북아현로22길34,서울특별시 서대문구 북아현3동1-93,생활방범,5,200,,30,2017-11,02-330-1080,37.582238,126.916815,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 북아현로1가길17,서울특별시 서대문구 북아현1동113-22,생활방범,4,200,,30,2017-11,02-330-1080,37.565002,126.954330,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 연희맛로28,서울특별시 서대문구 연희1동137-6,생활방범,5,200,,30,2017-11,02-330-1080,37.561205,126.959500,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 연희로35길13-19,서울특별시 서대문구 연희2동142-18,생활방범,5,200,,30,2017-11,02-330-1080,37.567189,126.930292,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 연희로15길103,서울특별시 서대문구 연희1동109-1,생활방범,5,200,,30,2017-11,02-330-1080,37.577988,126.934988,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 연세로2나길47,서울특별시 서대문구 창천동4-62,생활방범,4,200,,30,2017-11,02-330-1080,37.571576,126.928000,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 신촌로7길5,서울특별시 서대문구 창천동502-7,생활방범,5,200,,30,2017-11,02-330-1080,37.558033,126.940085,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 연희로41길167,서울특별시 서대문구 홍은2동188-29,생활방범,5,200,,30,2017-11,02-330-1080,37.557570,126.931301,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 통일로37나길25,서울특별시 서대문구 홍제1동313-8,생활방범,5,200,,30,2017-11,02-330-1080,37.595669,126.933831,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 세검정로4가길1,서울특별시 서대문구 홍제3동6-67,생활방범,5,200,,30,2017-11,02-330-1080,37.586816,126.943063,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 연세로4길39,서울특별시 서대문구 창천동13-55,생활방범,5,200,,30,2017-11,02-330-1080,37.594219,126.949465,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 모래내로386,서울특별시 서대문구 연희3동1-11,생활방범,1,200,,30,2017-11,02-330-1080,37.556909,126.938199,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 연희로11마길52,서울특별시 서대문구 연희1동113-2,생활방범,1,200,,30,2017-11,02-330-1080,37.583106,126.938469,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 연세로4길73,서울특별시 서대문구 창천동5-6,생활방범,1,200,,30,2017-11,02-330-1080,37.569462,126.926071,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 홍제내2가길22-29,서울특별시 서대문구 홍제1동341-18,생활방범,1,200,,30,2017-11,02-330-1080,37.558575,126.940448,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 홍제원길11,서울특별시 서대문구 홍제2동136-14,생활방범,1,200,,30,2017-11,02-330-1080,37.586357,126.937389,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 홍제내2다길25,서울특별시 서대문구 홍제1동364-1,생활방범,4,200,,30,2017-11,02-330-1080,37.586699,126.947334,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 모래내로377,서울특별시 서대문구 홍제동 366-3,생활방범,1,200,,30,2013-11,02-330-1080,37.584565,126.938126,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 통일로37다길 17,서울특별시 서대문구 홍제동318-7,생활방범,4,200,,30,2017-11,02-330-1080,37.582957,126.937383,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 통일로39길24,서울특별시 서대문구 홍제1동308-102,생활방범,1,200,,30,2013-11,02-330-1080,37.586172,126.943384,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 세무서2가길4,서울특별시 서대문구 홍제3동228,생활방범,4,200,,30,2017-11,02-330-1080,37.588073,126.943161,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 세무서1길50,서울특별시 서대문구 홍제3동304-102,생활방범,1,200,,30,2013-12,02-330-1080,37.588853,126.946333,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 세검정로3길54,서울특별시 서대문구 홍제3동266-215,생활방범,3,200,,30,2017-11,02-330-1080,37.590036,126.944637,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 포방터2길59,서울특별시 서대문구 홍은1동8-476,생활방범,4,200,,30,2017-11,02-330-1080,37.593638,126.947006,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 포방터2길67-1,서울특별시 서대문구 홍은1동8-505,생활방범,4,200,,30,2017-11,02-330-1080,37.596927,126.950874,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 포방터4길,서울특별시 서대문구 홍은1동8-368,생활방범,5,200,,30,2017-11,02-330-1080,37.596503,126.950947,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 홍은중앙로11길13,서울특별시 서대문구 홍은1동11-82,생활방범,1,200,,30,2013-11,02-330-1080,37.599722,126.950615,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 홍은중앙로9나길36,서울특별시 서대문구 홍은1동11-124,생활방범,5,200,,30,2017-11,02-330-1080,37.601281,126.948567,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 홍은중앙로5길58,서울특별시 서대문구 홍은1동11-318,생활방범,4,200,,30,2017-11,02-330-1080,37.601280,126.947003,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 통일로48길,서울특별시 서대문구 홍은1동440-5,생활방범,4,200,,30,2017-11,02-330-1080,37.600266,126.945840,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 연희로41길33,서울특별시 서대문구 홍은2동204-4,생활방범,1,200,,30,2013-11,02-330-1080,37.594912,126.942501,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 독립문로12나길33,서울특별시 서대문구 천연동120-90,생활방범,1,200,,30,2013-11,02-330-1080,37.589983,126.935330,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 홍제천로58-8,서울특별시 서대문구 연희1동529-20,생활방범,1,200,,30,2017-11,02-330-1080,37.567059,126.959460,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 홍제천로2길101,서울특별시 서대문구 연희동 523-21,생활방범,1,200,,30,2017-11,02-330-1080,37.571372,126.921896,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 성산로9길36,서울특별시 서대문구 연희1동413-60,생활방범,1,200,,30,2013-11,02-330-1080,37.571811,126.923355,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 연희로4길17,서울특별시 서대문구 연희3동351-25,생활방범,1,200,,30,2017-11,02-330-1080,37.567174,126.924327,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 신촌로1길65,서울특별시 서대문구 창천동386,생활방범,1,200,,30,2017-11,02-330-1080,37.561242,126.928117,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 신촌로7길46,서울특별시 서대문구 창천동100-133,생활방범,1,200,,30,2017-11,02-330-1080,37.560258,126.928179,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 성산로20길22,서울특별시 서대문구 창천동97-114,생활방범,1,200,,30,2013-12,02-330-1080,37.559176,126.932488,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 연세로5다길 22-3,서울특별시 서대문구 창천동62-22,생활방범,1,200,,30,2013-11,02-330-1080,37.561146,126.931841,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 북아현로1가길52,서울특별시 서대문구 북아현1동82,생활방범,1,200,,30,2017-11,02-330-1080,37.556594,126.934300,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 북아현로1길9,서울특별시 서대문구 북아현1동695,생활방범,1,200,,30,2017-11,02-330-1080,37.558468,126.958188,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 북아현로14길40,서울특별시 서대문구 북아현3동3-68,생활방범,1,200,,30,2017-11,02-330-1080,37.558836,126.958998,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 거북골로24길 8,서울특별시 서대문구 북가좌동 317-1,생활방범,1,200,,30,2013-11,02-330-1080,37.563272,126.957713,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 북아현로22나길 16,서울특별시 서대문구 북아현동 1-398,생활방범,1,200,,30,2013-11,02-330-1080,37.579923,126.907497,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 경기대로5길30,서울특별시 서대문구 충정로3가3-52,생활방범,1,200,,30,2017-11,02-330-1080,37.566230,126.953578,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 충정로7길29-18,서울특별시 서대문구 충정로3가180-19,생활방범,3,200,,30,2017-11,02-330-1080,37.562883,126.960341,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 봉원사2길2,서울특별시 서대문구 대신동125-26,생활방범,1,200,,30,2013-11,02-330-1080,37.562743,126.962725,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 증가로2안길14,서울특별시 서대문구 연희2동200,생활방범,1,200,,30,2017-11,02-330-1080,37.567538,126.946339,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 연희로10길43-55,서울특별시 서대문구 연희3동42-31,생활방범,1,200,,30,2017-11,02-330-1080,37.572304,126.930706,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 홍제천로16-2,서울특별시 서대문구 연희1동542-44,생활방범,1,200,,30,2017-11,02-330-1080,37.565782,126.933597,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 연희로24길12-3,서울특별시 서대문구 연희3동96-12,생활방범,1,200,,30,2017-11,02-330-1080,37.568916,126.918883,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 연희로41다길31,서울특별시 서대문구 홍은2동191-95,생활방범,1,200,,30,2013-11,02-330-1080,37.571200,126.935834,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 증가로4길9,서울특별시 서대문구 남가좌2동339-9,생활방범,1,200,,30,2013-12,02-330-1080,37.593969,126.933301,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 가좌로2길51,서울특별시 서대문구 홍은2동338-129,생활방범,6,130,,30,2011-02,02-330-1080,37.576690,126.925813,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 가좌로117,서울특별시 서대문구 홍은2동399-2,생활방범,5,130,,30,2011-02,02-330-1080,37.585777,126.925923,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 명지대1나길5-6,서울특별시 서대문구 남가좌2동5-276,생활방범,5,130,,30,2018-05,02-330-1080,37.582040,126.925148,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 증가로8길42-6,서울특별시 서대문구 남가좌2동326-21,생활방범,5,130,,30,2018-05,02-330-1080,37.580963,126.922740,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 증가로20길30-14,서울특별시 서대문구 남가좌2동364-4,생활방범,4,130,,30,2011-02,02-330-1080,37.578028,126.925471,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 증가로12가길23-43,서울특별시 서대문구 남가좌2동369-23,생활방범,4,130,,30,2011-02,02-330-1080,37.580640,126.918098,2018-08-09
"서울특별시 서대문구청",서울특별시 서대문구 명지대1가길22-4,서울특별시 서대문구 남가좌2동5-241,생활방범,5,130,,30,2011-02,02-330-1080,37.578674,126.919411,2018-08-09
