"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 성동구청",서울특별시 성동구 용답길 133,서울특별시 성동구 용답동 24-37,생활방범,4,200,360도 전방면,30,2018-01,02-2286-5879,37.56077576,127.0547485,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 용답중앙길 80-1,서울특별시 성동구 용답동 44-6,생활방범,4,200,360도 전방면,30,2018-01,02-2286-5879,37.56274033,127.0542145,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 용답29길 23,서울특별시 성동구 용답동 58-1,생활방범,4,200,360도 전방면,30,2018-01,02-2286-5879,37.56462097,127.0537491,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 천호대로 276,서울특별시 성동구 용답동 103-9,생활방범,3,200,360도 전방면,30,2018-01,02-2286-5879,37.56735992,127.0517349,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 용답15길 1,서울특별시 성동구 용답동 170-8,생활방범,3,200,360도 전방면,30,2018-01,02-2286-5879,37.56357574,127.050827,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 용답중앙1길 1,서울특별시 성동구 용답동 114-3,생활방범,4,200,360도 전방면,30,2018-01,02-2286-5879,37.5673027,127.0499649,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 무학로2나길 28,서울특별시 성동구 도선동 185-28,생활방범,3,200,360도 전방면,30,2018-01,02-2286-5879,37.5641861,127.0342331,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 무학로4길 21,서울특별시 성동구 도선동 177,생활방범,4,200,360도 전방면,30,2018-01,02-2286-5879,37.56478119,127.0330353,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 왕십리로26길 1,서울특별시 성동구 도선동 284-2,생활방범,4,200,360도 전방면,30,2018-01,02-2286-5879,37.56355667,127.0327225,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 왕십리로 318,서울특별시 성동구 도선동 45,생활방범,3,200,360도 전방면,30,2018-01,02-2286-5879,37.56205368,127.0345535,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 왕십리로21길 3,서울특별시 성동구 행당동 286-14,생활방범,5,200,360도 전방면,30,2018-01,02-2286-5879,37.56185532,127.0336761,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 왕십리로 271-1,서울특별시 성동구 행당동 134-4,생활방범,3,300,360도 전방면,30,2018-01,02-2286-5879,37.55862808,127.0371704,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 무학봉26길 2,서울특별시 성동구 하왕십리동 966-43,생활방범,4,200,360도 전방면,30,2018-01,02-2286-5879,37.56208038,127.0320206,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 무학봉15길 22,서울특별시 성동구 하왕십리동 955-13,생활방범,4,200,360도 전방면,30,2018-07,02-2286-5879,37.56311798,127.0307388,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 금호산2길 16,서울특별시 성동구 금호동3가 451,생활방범,5,200,360도 전방면,30,2018-01,02-2286-5879,37.54888535,127.0213394,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 동호로 84,서울특별시 성동구 금호동4가 1250,생활방범,4,200,360도 전방면,30,2018-01,02-2286-5879,37.5472908,127.0171127,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 마조로1길 42,서울특별시 성동구 행당동 1-17,생활방범,3,200,360도 전방면,30,2018-01,02-2286-5879,37.5613327,127.0392685,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 마조로11길 3-1,서울특별시 성동구 행당동 1-93,생활방범,4,200,360도 전방면,30,2018-01,02-2286-5879,37.56188965,127.0410995,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 둘레길 61,서울특별시 성동구 성수동1가 343,생활방범,3,200,360도 전방면,30,2018-01,02-2286-5879,37.53624344,127.0503998,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 독서당로59가길 4,서울특별시 성동구 응봉동 265-166,생활방범,3,200,360도 전방면,30,2018-01,02-2286-5879,37.55134964,127.0302505,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 상원12길 10,서울특별시 성동구 성수동1가 13-54,생활방범,5,200,360도 전방면,30,2018-01,02-2286-5879,37.55046844,127.0487213,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 성수일로11길 15,서울특별시 성동구 성수동1가 13-117,생활방범,3,200,360도 전방면,30,2018-01,02-2286-5879,37.54984665,127.0497665,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 상원길 48-1,서울특별시 성동구 성수동1가 13-145,생활방범,4,200,360도 전방면,30,2018-01,02-2286-5879,37.54834366,127.0482635,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 왕십리로14길 18,서울특별시 성동구 성수동1가 656-805,생활방범,3,200,360도 전방면,30,2018-01,02-2286-5879,37.54880142,127.0456467,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 뚝섬로13길 22,서울특별시 성동구 성수동2가 268,생활방범,4,200,360도 전방면,30,2018-01,02-2286-5879,37.53955841,127.0578613,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 뚝섬로 447,서울특별시 성동구 성수동2가 231-1,생활방범,4,200,360도 전방면,30,2018-01,02-2286-5879,37.53808975,127.0598145,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 뚝섬로17길 29,서울특별시 성동구 성수동2가 255-1,생활방범,4,200,360도 전방면,30,2018-01,02-2286-5879,37.54012299,127.0605621,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 둘레15길 13,서울특별시 성동구 성수동2가 655,생활방범,3,200,360도 전방면,30,2018-01,02-2286-5879,37.53615952,127.0556946,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 아차산로7길 24,서울특별시 성동구 성수동2가 289-262,생활방범,5,200,360도 전방면,30,2018-01,02-2286-5879,37.54739761,127.0549698,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 성수일로12길 15,서울특별시 성동구 성수동2가 299-151,생활방범,3,200,360도 전방면,30,2018-01,02-2286-5879,37.5487709,127.0528793,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 광나루로11길 52-1,서울특별시 성동구 송정동 1-129,생활방범,3,200,360도 전방면,30,2018-01,02-2286-5879,37.55230331,127.0685959,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 광나루로11길 18,서울특별시 성동구 송정동 66-34,생활방범,3,200,360도 전방면,30,2018-01,02-2286-5879,37.5495491,127.0664825,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 왕십리로33길 9-1,서울특별시 성동구 하왕십리동 890-17,생활방범,3,200,360도 전방면,30,2018-12,02-2286-5879,37.56404495,127.027092,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 입구,서울특별시 성동구 하왕십리동 1052-1,생활방범,3,200,360도 전방면,30,2018-12,02-2286-5879,37.56219482,127.0266495,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 왕십리로24가길 22,서울특별시 성동구 도선동 125,생활방범,3,200,360도 전방면,30,2018-12,02-2286-5879,37.56391907,127.0346832,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 왕십리로28길 29,서울특별시 성동구 홍익동 344-1,생활방범,4,200,360도 전방면,30,2018-12,02-2286-5879,37.56616974,127.0319214,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 마장로23길 5,서울특별시 성동구 홍익동 40,생활방범,4,200,360도 전방면,30,2018-12,02-2286-5879,37.56709671,127.0322266,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 왕십리로 291-1,서울특별시 성동구 행당동 267-18,생활방범,3,200,360도 전방면,30,2018-12,02-2286-5879,37.56023407,127.0360565,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 청계천로10나길 75,서울특별시 성동구 마장동 474-27,생활방범,4,200,360도 전방면,30,2018-12,02-2286-5879,37.57035065,127.0369949,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 행당로15길 6,서울특별시 성동구 행당동 311-30,생활방범,2,200,360도 전방면,30,2018-12,02-2286-5879,37.5586586,127.0317764,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 행당로11길 20,서울특별시 성동구 행당동 306-31,생활방범,3,200,360도 전방면,30,2018-12,02-2286-5879,37.55938721,127.0302277,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 성덕정9가길 13,서울특별시 성동구 성수동1가 277-1,생활방범,4,300,360도 전방면,30,2018-12,02-2286-5879,37.5392189,127.0510864,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 사근동길 56,서울특별시 성동구 사근동 176-10,생활방범,3,200,360도 전방면,30,2018-12,02-2286-5879,37.56084824,127.0472031,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 사근동12길 21,서울특별시 성동구 사근동 186-4,생활방범,3,200,360도 전방면,30,2018-12,02-2286-5879,37.55970001,127.0473404,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 살곶이2길 27-10,서울특별시 성동구 사근동 226-5,생활방범,3,200,360도 전방면,30,2018-12,02-2286-5879,37.56332397,127.046524,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 마조로3나길3,서울특별시 성동구 사근동 19-114,생활방범,3,200,360도 전방면,30,2018-12,02-2286-5879,37.558815,127.0392456,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 마조로3가길 21,서울특별시 성동구 행당동 19-60,생활방범,3,200,360도 전방면,30,2018-12,02-2286-5879,37.55960846,127.0401611,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 사근동2길 18,서울특별시 성동구 사근동 312-20,생활방범,2,200,360도 전방면,30,2018-12,02-2286-5879,37.56010818,127.0452728,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 고산자로8길 34,서울특별시 성동구 행당동 135-2,생활방범,3,200,360도 전방면,30,2018-12,02-2286-5879,37.55839157,127.0376511,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 독서당로62가길 33,서울특별시 성동구 응봉동 193-143,생활방범,3,200,360도 전방면,30,2018-12,02-2286-5879,37.54900742,127.0330429,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 독서당로60길 6-1,서울특별시 성동구 응봉동 193-192,생활방범,3,200,360도 전방면,30,2018-12,02-2286-5879,37.54944229,127.0310822,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 독서당로59나길 40,서울특별시 성동구 응봉동 264-90,생활방범,3,200,360도 전방면,30,2018-12,02-2286-5879,37.55316925,127.0297699,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 독서당로59다길 21,서울특별시 성동구 응봉동 265-78,생활방범,3,200,360도 전방면,30,2018-12,02-2286-5879,37.55285645,127.0307083,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 행당로1길 12-1,서울특별시 성동구 금호동1가 167-58,생활방범,3,200,360도 전방면,30,2018-12,02-2286-5879,37.55661392,127.0237503,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 금호로 176,서울특별시 성동구 금호동1가 91,생활방범,3,200,360도 전방면,30,2018-12,02-2286-5879,37.55687714,127.0199356,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 독서당로59가길 25-3,서울특별시 성동구 응봉동 265-140,생활방범,3,200,360도 전방면,30,2018-12,02-2286-5879,37.55211258,127.0300446,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 무수막길 84,서울특별시 성동구 금호동2가 522,생활방범,4,200,360도 전방면,30,2018-12,02-2286-5879,37.55335999,127.0206299,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 무수막길 66,서울특별시 성동구 금호동2가 658,생활방범,5,200,360도 전방면,30,2018-12,02-2286-5879,37.55188751,127.0210114,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 무수막3길 7-1,서울특별시 성동구 금호동3가 122,생활방범,3,200,360도 전방면,30,2018-12,02-2286-5879,37.54920197,127.0245972,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 뚝섬로 338,서울특별시 성동구 성수동1가 72-130,생활방범,3,200,360도 전방면,30,2018-12,02-2286-5879,37.54062271,127.0479279,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 장터5가길 32,서울특별시 성동구 금호동3가 502,생활방범,3,41,360도 전방면,30,2018-12,02-2286-5879,37.55000687,127.0227661,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 동호로2길 23-1,서울특별시 성동구 금호동4가 1359,생활방범,3,41,360도 전방면,30,2018-12,02-2286-5879,37.54806137,127.0187531,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 둘레7가길 21,서울특별시 성동구 성수동1가 369-7,생활방범,1,41,360도 전방면,30,2018-12,02-2286-5879,37.53687286,127.0498428,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 왕십리로2길 20,서울특별시 성동구 성수동1가 656-1212,생활방범,3,41,360도 전방면,30,2018-12,02-2286-5879,37.54328156,127.046814,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 둘레19길 10-1,서울특별시 성동구 성수동2가 223-10,생활방범,3,41,360도 전방면,30,2018-12,02-2286-5879,37.53536606,127.0578003,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 둘레23길 12-6,서울특별시 성동구 성수동2가 216-8,생활방범,3,41,360도 전방면,30,2018-12,02-2286-5879,37.5358696,127.0590286,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 성수이로7길 34,서울특별시 성동구 성수동2가 321-17,생활방범,4,200,360도 전방면,30,2018-12,02-2286-5879,37.54201889,127.0535965,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 성수이로7가길 15,서울특별시 성동구 성수동2가 321-66,생활방범,4,200,360도 전방면,30,2018-12,02-2286-5879,37.54164886,127.0552292,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 뚝섬로11길 8,서울특별시 성동구 성수동2가 328-61,생활방범,3,41,360도 전방면,30,2018-12,02-2286-5879,37.53913498,127.0569916,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 성덕정11길 20-1,서울특별시 성동구 성수동2가 339-10,생활방범,1,41,360도 전방면,30,2018-12,02-2286-5879,37.53920746,127.0534744,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 둘레9길 14,서울특별시 성동구 성수동2가 378-1,생활방범,3,41,360도 전방면,30,2018-12,02-2286-5879,37.53743744,127.0508804,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 둘레11길 18-1,서울특별시 성동구 성수동2가 472-2,생활방범,3,41,360도 전방면,30,2018-12,02-2286-5879,37.53730774,127.0525589,2018-08-17
"서울특별시 성동구청",서울특별시 성동구 둘레13길 17,서울특별시 성동구 성수동2가 779-2,생활방범,3,41,360도 전방면,30,2018-12,02-2286-5879,37.53612912,127.0533194,2018-08-17
