"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 성북구청",서울특별시 성북구 정릉로10길 92 (정릉동),서울특별시 성북구 정릉동 924-1,생활방범,3,200,360,30,2006-12,02-2241-4562,37.6060115,126.9987234,2018-10-01
"서울특별시 성북구청",서울특별시 성북구 길음로 20 (길음동),서울특별시 성북구 길음동 1283-4,생활방범,3,200,360,30,2007-12,02-2241-4562,37.6047095,127.0230189,2018-10-01
"서울특별시 성북구청",서울특별시 성북구 삼양로 61-1 (길음동),서울특별시 성북구 길음동 1222,생활방범,3,200,360,30,2010-12,02-2241-4562,37.6084722,127.0229097,2018-10-01
"서울특별시 성북구청",,서울특별시 성북구 길음동 478-24,생활방범,3,130,360,30,2011-12,02-2241-4562,37.6115152,127.0294811,2018-10-01
"서울특별시 성북구청",서울특별시 성북구 도봉로3길 24 (길음동),서울특별시 성북구 길음동 489-5,생활방범,3,200,360,30,2010-12,02-2241-4562,37.6105079,127.028724,2018-10-01
"서울특별시 성북구청",서울특별시 성북구 삼선교로10바길 6-7 (삼선동1가),서울특별시 성북구 삼선동1가 274-96,생활방범,3,200,360,30,2016-12,02-2241-4562,37.5855057,127.0094906,2018-10-01
"서울특별시 성북구청",서울특별시 성북구 인촌로12길 17-25 (안암동2가),서울특별시 성북구 안암동2가 160-10,생활방범,3,200,360,30,2016-12,02-2241-4562,37.5856247,127.0234484,2018-10-01
"서울특별시 성북구청",서울특별시 성북구 정릉로40길 26 (정릉동),서울특별시 성북구 정릉동 16-99,생활방범,3,200,360,30,2010-12,02-2241-4562,37.6008958,127.019369,2018-10-01
"서울특별시 성북구청",서울특별시 성북구 동소문로24길 31 (동선동1가),서울특별시 성북구 동선동1가 85-38,생활방범,3,130,360,30,2011-12,02-2241-4562,37.592217,127.0189235,2018-10-01
"서울특별시 성북구청",서울특별시 성북구 보문로30라길 14 (동선동2가),서울특별시 성북구 동선동2가 84,생활방범,3,200,360,30,2010-12,02-2241-4562,37.5899521,127.0189634,2018-10-01
"서울특별시 성북구청",서울특별시 성북구 보문로30다길 11 (동선동2가),서울특별시 성북구 동선동2가 261,생활방범,3,200,360,30,2006-12,02-2241-4562,37.5896996,127.0215416,2018-10-01
"서울특별시 성북구청",서울특별시 성북구 동소문로26가길 3 (동선동3가),서울특별시 성북구 동선동3가 1,생활방범,3,130,360,30,2011-12,02-2241-4562,37.5944787,127.0194781,2018-10-01
"서울특별시 성북구청",서울특별시 성북구 동소문로28길 36 (동선동3가),서울특별시 성북구 동선동3가 23,생활방범,3,200,360,30,2006-12,02-2241-4562,37.5954476,127.0206001,2018-10-01
"서울특별시 성북구청",서울특별시 성북구 동소문로26길 29 (동선동3가),서울특별시 성북구 동선동3가 130-6,생활방범,3,200,360,30,2010-12,02-2241-4562,37.5938743,127.0205969,2018-10-01
"서울특별시 성북구청",서울특별시 성북구 동소문로23길 7-4 (동선동4가),서울특별시 성북구 동선동4가 85,생활방범,3,200,360,30,2010-12,02-2241-4562,37.5939217,127.0173000,2018-10-01
"서울특별시 성북구청","서울특별시 성북구 동소문로29길 27 (동선동4가, 현대빌라)",서울특별시 성북구 동선동4가 310-3,생활방범,3,200,360,30,2006-12,02-2241-4562,37.5964431,127.0192791,2018-10-01
"서울특별시 성북구청",서울특별시 성북구 동소문로25길 51 (동선동5가),서울특별시 성북구 동선동5가 48-2,생활방범,3,200,360,30,2010-12,02-2241-4562,37.5954673,127.0164756,2018-10-01
"서울특별시 성북구청",,서울특별시 성북구 동소문동1가 45,생활방범,3,200,360,30,2007-12,02-2241-4562,37.5893101,127.0066332,2018-10-01
"서울특별시 성북구청",서울특별시 성북구 동소문로6길 4 (동소문동2가),서울특별시 성북구 동소문동2가 22,생활방범,3,130,360,30,2011-12,02-2241-4562,37.5888874,127.0080055,2018-10-01
"서울특별시 성북구청",,서울특별시 성북구 동소문동4가 13,생활방범,3,200,360,30,2007-12,02-2241-4562,37.5899631,127.0092764,2018-10-01
"서울특별시 성북구청",서울특별시 성북구 동소문로15길 12 (동소문동6가),서울특별시 성북구 동소문동6가 71-3,생활방범,3,200,360,30,2006-12,02-2241-4562,37.5928458,127.0139442,2018-10-01
"서울특별시 성북구청",서울특별시 성북구 동소문로 177 (돈암동),서울특별시 성북구 돈암동 51-49,생활방범,2,200,360,30,2009-12,02-2241-4562,37.5977665,127.0214258,2018-10-01
"서울특별시 성북구청",,서울특별시 성북구 돈암동 13-127,생활방범,3,200,360,30,2010-12,02-2241-4562,37.5994961,127.0223567,2018-10-01
"서울특별시 성북구청","서울특별시 성북구 동소문로32길 7-3 (동선동3가, 위더스빌)",서울특별시 성북구 돈암동 80-9,생활방범,3,200,360,30,2010-12,02-2241-4562,37.5966584,127.0219918,2018-10-01
