"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 송파구청",서울특별시 송파구 바람드리길 2,서울특별시 송파구 풍납1동 124-5,생활방범,1,41,360도 전방면,30,2009-06,02-2147-3112,37.538288,127.115963,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 바람드리12길 14-1,서울특별시 송파구 풍납1동 133-19,생활방범,1,41,360도 전방면,30,2009-06,02-2147-3112,37.536698,127.118098,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 천호대로 996,서울특별시 송파구 풍납1동 473-1,생활방범,1,41,360도 전방면,30,2010-06,02-2147-3112,37.538177,127.122626,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 올림픽로57길 2,서울특별시 송파구 풍납1동 490-7,생활방범,1,41,360도 전방면,30,2010-06,02-2147-3112,37.534559,127.121416,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 강동대로 76,서울특별시 송파구 풍납2동 389,생활방범,1,41,360도 전방면,30,2009-06,02-2147-3112,37.526222,127.115766,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 풍성로14길 46,서울특별시 송파구 풍납2동 281-3,생활방범,1,41,360도 전방면,30,2009-06,02-2147-3112,37.532863,127.113641,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 풍성로4길 20,서울특별시 송파구 풍납2동 292-1,생활방범,1,41,360도 전방면,30,2010-06,02-2147-3112,37.533814,127.112800,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 한가람로 410,서울특별시 송파구 풍납2동 297-1,생활방범,1,41,360도 전방면,30,2010-06,02-2147-3112,37.534993,127.112154,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 올림픽로43길 20,서울특별시 송파구 풍납2동 389-2,생활방범,1,200,360도 전방면,30,2005-06,02-2147-3112,37.524823,127.115447,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 강동대로3길 12,서울특별시 송파구 풍납2동 396,생활방범,1,41,360도 전방면,30,2009-06,02-2147-3112,37.527979,127.114624,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 강동대로 13(올림픽대교 아래),서울특별시 송파구 풍납2동 469-3,생활방범,1,41,360도 전방면,30,2010-06,02-2147-3112,37.529113,127.109213,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 올림픽로51길 15,서울특별시 송파구 풍납2동 501-24,생활방범,1,200,360도 전방면,30,2005-06,02-2147-3112,37.531857,127.119111,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 토성로19길 28,서울특별시 송파구 풍납2동 338-8,생활방범,1,41,360도 전방면,30,2010-06,02-2147-3112,37.530952,127.119231,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 토성로 65,서울특별시 송파구 풍납2동 406-1,생활방범,1,41,360도 전방면,30,2010-06,02-2147-3112,37.528844,127.117311,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 올림픽로45길 20,서울특별시 송파구 풍납2동 399-20,생활방범,1,130,360도 전방면,30,2010-06,02-2147-3112,37.527286,127.116231,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 거마로13길 14-2,서울특별시 송파구 거여1동 129-49,생활방범,1,200,360도 전방면,30,2007-06,02-2147-3112,37.497779,127.144888,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 오금로54길 10(102동도로변),서울특별시 송파구 거여1동 358-1 (현대1차 아파트 102동 도로변),생활방범,1,41,360도 전방면,30,2009-06,02-2147-3112,37.492976,127.141734,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 오금로 61길 21,서울특별시 송파구 거여2동 198-1,생활방범,1,41,360도 전방면,30,2009-06,02-2147-3112,37.494503,127.147147,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 오금로64길 11,서울특별시 송파구 거여동 258-30,생활방범,1,41,360도 전방면,30,2009-06,02-2147-3112,37.491707,127.147385,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 양산로8길 45,서울특별시 송파구 거여동 258-119,생활방범,1,41,360도 전방면,30,2005-06,02-2147-3112,37.490185,127.148468,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 오금로68길 30,서울특별시 송파구 거여2동 258-9,생활방범,1,200,360도 전방면,30,2007-06,02-2147-3112,37.490804,127.149137,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 오금로64마길 5-1,서울특별시 송파구 거여2동 258-108,생활방범,1,41,360도 전방면,30,2010-06,02-2147-3112,37.491275,127.147580,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 오금로64라길 10,서울특별시 송파구 거여2동 258-99,생활방범,1,41,360도 전방면,30,2010-06,02-2147-3112,37.491260,127.147993,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 마천로43길 10,서울특별시 송파구 마천1동 125-22,생활방범,1,41,360도 전방면,30,2010-06,02-2147-3112,37.497759,127.148459,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 마천로51길 10,서울특별시 송파구 마천1동 180-11.,생활방범,1,41,360도 전방면,30,2010-06,02-2147-3112,37.495896,127.151040,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 성내천로 268,서울특별시 송파구 마천1동 188-2,생활방범,1,200,360도 전방면,30,2005-06,02-2147-3112,37.496755,127.153964,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 마천로61길 25,서울특별시 송파구 마천1동 211-90 (314-23 건너편),생활방범,1,41,360도 전방면,30,2009-06,02-2147-3112,37.494154,127.154988,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 성내천로43길 5,서울특별시 송파구 마천1동 214,생활방범,1,200,360도 전방면,30,2007-06,02-2147-3112,37.495250,127.155429,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 마천로65길 3,서울특별시 송파구 마천1동 323-197,생활방범,1,41,360도 전방면,30,2010-06,02-2147-3112,37.491844,127.155441,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 성내천로 324,서울특별시 송파구 마천1동 329-6,생활방범,1,200,360도 전방면,30,2005-06,02-2147-3112,37.492001,127.156460,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 성내천로41길 12-1,서울특별시 송파구 마천1동 355-1,생활방범,1,41,360도 전방면,30,2010-06,02-2147-3112,37.497166,127.155481,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 성내천로23가길 12,서울특별시 송파구 마천2동 12-12,생활방범,1,41,360도 전방면,30,2009-06,02-2147-3112,37.502299,127.144620,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 마천로37길 8,서울특별시 송파구 마천2동 35-4,생활방범,1,41,360도 전방면,30,2010-06,02-2147-3112,37.499055,127.146429,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 거마로24길 10,서울특별시 송파구 마천2동 47-13,생활방범,1,41,360도 전방면,30,2010-06,02-2147-3112,37.500998,127.148638,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 성내천로24길 1,서울특별시 송파구 마천2동 49-10 (43-3 건너편),생활방범,1,41,360도 전방면,30,2010-06,02-2147-3112,37.499887,127.148009,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 마천로43길 42,서울특별시 송파구 마천2동 89-2 (75-6 건너편),생활방범,1,41,360도 전방면,30,2009-06,02-2147-3112,37.500044,127.150848,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 마천로45길 17,서울특별시 송파구 마천동 134-1 (마천중앙시장),생활방범,1,300,360도 전방면,30,2007-06,02-2147-3112,37.497627,127.150391,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 성내천로32나길 6,서울특별시 송파구 마천2동 173-30,생활방범,1,200,360도 전방면,30,2009-06,02-2147-3112,37.497866,127.151883,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 성내천로38길 14,서울특별시 송파구 마천2동 191-32,생활방범,1,41,360도 전방면,30,2010-06,02-2147-3112,37.497620,127.152936,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 성내천로30길 18,서울특별시 송파구 마천2동 140,생활방범,1,200,360도 전방면,30,2010-06,02-2147-3112,37.498600,127.150368,2018-06-30
"서울특별시 송파구청",서울특별시 송파구 성내천로 228,서울특별시 송파구 마천2동 162-8,생활방범,1,41,360도 전방면,30,2010-06,02-2147-3112,37.499383,127.152722,2018-06-30
