"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 은평구청",,서울특별시 은평구 진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,2014-12,02-351-8007,37.6335740000,126.9377720000,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 진관동 175 기자촌공원내,기타,3,200,360도 전방면,30,2014-12,02-351-8007,37.6334870000,126.9387430000,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,2014-12,02-351-8007,37.6328500000,126.9387500000,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,2014-12,02-351-8007,37.6328920000,126.9375490000,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,2014-12,02-351-8007,37.6324160000,126.9365120000,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,2014-12,02-351-8007,37.6317320000,126.9349470000,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,2014-12,02-351-8007,37.6345940000,126.9361830000,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,2014-12,02-351-8007,37.6351700000,126.9362710000,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 서오릉로20길 15-1,서울특별시 은평구 갈현동 327-21 (갈현동 327-113뒤),기타,1,200,360도 전방면,30,2009-12,02-351-8007,37.6168641,126.9091355,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 서오릉로20길 15-1,서울특별시 은평구 갈현동 327-21 (갈현동 327-113뒤),기타,1,200,360도 전방면,30,2009-12,02-351-8007,37.6168641,126.9091355,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 서오릉로17길 5,서울특별시 은평구 구산동 340-1 (구산동 341-4옆),기타,3,200,360도 전방면,30,2017-11,02-351-8007,37.6144117,126.9087704,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 서오릉로17길 5,서울특별시 은평구 구산동 340-1 (구산동 341-4옆),기타,3,41,360도 전방면,30,2011-12,02-351-8007,37.6144117,126.9087704,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 통일로 849,서울특별시 은평구 갈현동 397,기타,1,200,180도,30,2015-12,02-351-8007,37.6410526,126.9218894,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 통일로 849,서울특별시 은평구 갈현동 397,기타,3,200,360도 전방면,30,2013-12,02-351-8007,37.6410526,126.9218894,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 갈현동 416-3,기타,1,200,180도,30,2015-12,02-351-8007,37.6250810000,126.918439235,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 갈현동 416-3,기타,1,200,180도,30,2015-12,02-351-8007,37.6250640000,126.918439235,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 갈현동 434-38,기타,1,200,180도,30,2015-12,02-351-8007,37.6213780000,126.915724728,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 갈현동 434-38,다목적,1,200,180도,30,2017-12,02-351-6383,37.6213780000,126.915724728,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 갈현동 434-38,기타,1,41,360도 전방면,30,2009-12,02-351-8007,37.6213780000,126.915724728,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 갈현로41길 7,서울특별시 은평구 갈현동 436-51,기타,1,130,360도 전방면,30,2012-12,02-351-8007,37.6239915,126.9165079,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 갈현로41길 7,서울특별시 은평구 갈현동 436-51,기타,1,130,360도 전방면,30,2012-12,02-351-8007,37.6239915,126.9165829000,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 갈현로41길 7,서울특별시 은평구 갈현동 436-51,다목적,1,200,180도,30,2017-12,02-351-6383,37.6239915,126.9165079,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 연서로21길 15,서울특별시 은평구 갈현동 474-1,기타,1,200,360도 전방면,30,2010-12,02-351-8007,37.6146610000,126.9156340000,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 연서로21길 15,서울특별시 은평구 갈현동 474-1,기타,1,200,360도 전방면,30,2010-12,02-351-8007,37.6146890,126.9156847,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 연서로21길 15,서울특별시 은평구 갈현동 474-1,다목적,1,200,180도,30,2017-12,02-351-6383,37.6146890,126.9156847,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 갈현로25길 11-8,서울특별시 은평구 갈현동 513-1,기타,1,41,360도 전방면,30,2010-12,02-351-8007,37.6171740000,126.9131505,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 갈현로25길 11-8,서울특별시 은평구 갈현동 513-1,다목적,1,200,180도,30,2017-12,02-351-6383,37.6171264,126.9131505,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 갈현로25길 11-8,서울특별시 은평구 갈현동 513-1,기타,1,41,360도 전방면,30,2010-12,02-351-8007,37.6171264,126.9131505,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 녹번동 100-85,기타,1,41,360도 전방면,30,2011-12,02-351-8007,37.6040491398,126.927540078,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 녹번동 104-7,기타,2,200,360도 전방면,30,2014-12,02-351-8007,37.6061040000,126.9274700000,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 녹번동 153-1,기타,1,200,360도 전방면,30,2010-12,02-351-8007,37.6051460000,126.923040777,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 녹번동 153-1,기타,1,200,360도 전방면,30,2010-12,02-351-8007,37.6051491033,126.923040777,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 녹번동 153-1,기타,1,200,360도 전방면,30,2010-12,02-351-8007,37.6051491033,126.9230610000,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 은평로13길 35,서울특별시 은평구 녹번동 158-1,기타,1,41,360도 전방면,30,2011-12,02-351-8007,37.6039728,126.9237282,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 은평로13길 35,서울특별시 은평구 녹번동 158-1,기타,1,41,360도 전방면,30,2011-12,02-351-8007,37.6039728,126.9237282,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 은평로13길 35,서울특별시 은평구 녹번동 158-1,다목적,1,200,180도,30,2017-12,02-351-6383,37.6039728,126.9237282,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 녹번동 85-1,기타,1,200,360도 전방면,30,2010-12,02-351-8007,37.6039860000,126.9275140000,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 녹번동 85-1,기타,1,200,180도,30,2016-11,02-351-8007,37.6035650000,126.9270640000,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 녹번동 85-1,기타,2,200,360도 전방면,30,2013-12,02-351-8007,37.6039190000,126.9275530000,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 녹번동 85-1,다목적,1,200,180도,30,2017-12,02-351-6383,37.6039190000,126.9275530000,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 녹번동 95-44,기타,1,200,360도 전방면,30,2009-12,02-351-8007,37.6054980000,126.9309850000,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 은평로21길 14-26,서울특별시 은평구 녹번동 산28-6,기타,1,200,180도,30,2015-12,02-351-8007,37.6026699,126.9317526,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 연서로22길 9-30,서울특별시 은평구 대조동 212,기타,1,200,180도,30,2015-12,02-351-8007,37.6153227,126.9197452,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 연서로22길 9-30,서울특별시 은평구 대조동 212,기타,1,200,180도,30,2015-12,02-351-8007,37.6153227,126.9197452,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 연서로22길 9-30,서울특별시 은평구 대조동 212,기타,1,200,180도,30,2015-12,02-351-8007,37.6153227,126.9197510000,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 연서로22길 9-30,서울특별시 은평구 대조동 212,다목적,1,200,180도,30,2017-12,02-351-6383,37.6153227,126.9197510000,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 불광로9길 15,서울특별시 은평구 불광동 236-5,기타,2,200,360도 전방면,30,2014-12,02-351-8007,37.6161744,126.9313533,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 불광동 270-11,기타,2,200,360도 전방면,30,2014-12,02-351-8007,37.6136181000,126.9296432000,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 불광동 339,기타,1,41,360도 전방면,30,2010-12,02-351-8007,37.6197300000,126.9249840000,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 불광동 339,기타,1,200,360도 전방면,30,2016-11,02-351-8007,37.6197300000,126.9249840000,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 연서로37가길 10-12,서울특별시 은평구 불광동 444-1,기타,1,200,360도 전방면,30,2010-12,02-351-8007,37.6250917,126.9261777,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 연서로37가길 10-12,서울특별시 은평구 불광동 444-1,기타,1,200,360도 전방면,30,2010-12,02-351-8007,37.6250917,126.9261777,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 불광동 444-15,기타,1,200,180도,30,2015-12,02-351-8007,37.6248730000,126.9272910000,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 불광동 444-15,기타,1,200,180도,30,2015-12,02-351-8007,37.6248730000,126.9272910000,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 연서로41가길 30-8,서울특별시 은평구 불광동 448-51,기타,1,200,360도 전방면,30,2010-12,02-351-8007,37.6263860000,126.9252039,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 불광동 69,기타,2,200,360도 전방면,30,2014-12,02-351-8007,37.6268080000,126.9287110000,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 불광동 산42-5 (불광동 630-26),기타,1,200,360도 전방면,30,2018-07,02-351-8007,37.6115856000,126.9408875000,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 불광동 산42-5,기타,1,200,360도 전방면,30,2018-07,02-351-8007,37.6113770000,126.9400400000,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 불광동 산42-5,기타,1,200,360도 전방면,30,2018-07,02-351-8007,37.6109670000,126.9394630000,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 은평터널로 43-45(입구쪽),서울특별시 은평구 수색동 산21-1 봉산공원,기타,1,200,180도,30,2015-12,02-351-8007,37.5861105,126.8983028,2019-01-01
"서울특별시 은평구청",서울특별시 은평구 은평터널로 43-45(공원안쪽),서울특별시 은평구 수색동 산21-1 봉산공원,기타,1,200,180도,30,2016-11,02-351-8007,37.5861105,126.8983028,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 신사동 237-177,기타,1,200,360도 전방면,30,2009-12,02-351-8007,37.5954430000,126.9046880000,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 신사동 237-177,기타,2,200,180도,30,2016-11,02-351-8007,37.5954430000,126.9046880000,2019-01-01
"서울특별시 은평구청",,서울특별시 은평구 신사동 237-177,기타,1,41,360도 전방면,30,2009-12,02-351-8007,37.5954430000,126.9046880000,2019-01-01
