"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 중구",서울특별시 중구 만리동1가 57-7,서울특별시 중구 손기정로 101 (만리동2가),생활방범,1,200,회전형,30,2018-02,02-3396-4744,37.55523900,126.96457200,2019-01-09
"서울특별시 중구",서울특별시 중구 만리동2가 6-1,서울특별시 중구 손기정로 101 (만리동2가),생활방범,1,130,회전형,30,2012-07,02-3396-4744,37.55575800,126.96408300,2019-01-09
"서울특별시 중구",서울특별시 중구 만리동2가 6-1,서울특별시 중구 손기정로 101 (만리동2가),생활방범,1,200,회전형,30,2018-02,02-3396-4744,37.55531600,126.96439500,2019-01-09
"서울특별시 중구",서울특별시 중구 만리동2가 6-1,서울특별시 중구 손기정로 101 (만리동2가),생활방범,1,130,회전형,30,2012-07,02-3396-4744,37.55672400,126.96631800,2019-01-09
"서울특별시 중구",서울특별시 중구 약수동 333-771,서울특별시 중구 매봉18길 79 (금호동2가),생활방범,1,200,회전형,30,2017-04,02-3396-4744,37.55453372,127.01698959,2019-01-09
"서울특별시 중구",서울특별시 중구 순화동 9-5,서울특별시 중구 칠패로 27 (순화동),생활방범,1,200,회전형,30,2013-05,02-3396-4744,37.56028600,126.97165100,2019-01-09
"서울특별시 중구",서울특별시 중구 순화동 9-5,서울특별시 중구 칠패로 27 (순화동),생활방범,1,200,회전형,30,2014-01,02-3396-4744,37.55995800,126.97156200,2019-01-09
"서울특별시 중구",서울특별시 중구 약수동 산55,서울특별시 중구 매봉18길 11 (금호동3가),생활방범,1,200,회전형,30,2017-09,02-3396-4744,37.55037800,127.01365300,2019-01-09
"서울특별시 중구",서울특별시 중구 약수동 844-10,서울특별시 중구 매봉18길 11 (금호동3가),생활방범,1,200,회전형,30,2017-09,02-3396-4744,37.54879400,127.01039400,2019-01-09
"서울특별시 중구",서울특별시 중구 약수동 351-104,서울특별시 중구 매봉18길 11 (금호동3가),생활방범,1,200,회전형,30,2017-09,02-3396-4744,37.54499500,127.00817000,2019-01-09
"서울특별시 중구",서울특별시 중구 정동 15-1,서울특별시 중구 정동길 21-8,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.56837700,126.97134100,2019-01-09
"서울특별시 중구",서울특별시 중구 정동 15-1,서울특별시 중구 정동길 21-8,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.56792000,126.97164000,2019-01-09
"서울특별시 중구",서울특별시 중구 의주로1가 44-2,서울특별시 중구 통일로 102 옆,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.56395500,126.96867900,2019-01-09
"서울특별시 중구",서울특별시 중구 삼각동 118,서울특별시 중구 중구 남대문로10길 29 옆,생활방범,2,200,회전형,30,2018-02,02-3396-4744,37.56821300,126.98487700,2019-01-09
"서울특별시 중구",서울특별시 중구 다동 51-2,서울특별시 중구 을지로 3길 49,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.56816300,126.98083600,2019-01-09
"서울특별시 중구",서울특별시 중구 다동 51-2,서울특별시 중구 을지로 3길 49,생활방범,2,200,회전형,30,2014-01,02-3396-4744,37.56807000,126.98065300,2019-01-09
"서울특별시 중구",서울특별시 중구 광희동 1가 238,서울특별시 중구 퇴계로 303-9 옆,생활방범,2,200,회전형,30,2018-02,02-3396-4744,37.56428700,127.00500300,2019-01-09
