"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 중랑구청",서울특별시 중랑구 봉화산로27길 42,서울특별시 중랑구 중화1동 21-9,생활방범,1,200,0,30,2008-01,02-2094-0284,37.6035194,127.0829697,2019-03-11
"서울특별시 중랑구청",서울특별시 중랑구 봉화산로30길 19,서울특별시 중랑구 중화1동 126,생활방범,1,200,0,30,2008-01,02-2094-0284,37.6010783,127.0853121,2019-03-11
"서울특별시 중랑구청",서울특별시 중랑구 상봉중앙로9길 20,서울특별시 중랑구 중화1동 9-3,생활방범,1,200,0,30,2008-08,02-2094-0284,37.6018713,127.0861592,2019-03-11
"서울특별시 중랑구청",서울특별시 중랑구 동일로140길 16,서울특별시 중랑구 중화1동 281-1,생활방범,1,200,0,30,2009-03,02-2094-0284,37.6042270,127.0803417,2019-03-11
"서울특별시 중랑구청",서울특별시 중랑구 봉화산로26길 28,서울특별시 중랑구 중화1동 148-48,생활방범,1,200,0,30,2009-09,02-2094-0284,37.6006584,127.0837479,2019-03-11
"서울특별시 중랑구청",서울특별시 중랑구 동일로126길 18,서울특별시 중랑구 중화1동 295-41,생활방범,1,200,0,30,2009-09,02-2094-0284,37.5988350,127.0812988,2019-03-11
"서울특별시 중랑구청",서울특별시 중랑구 봉화산로24길 9-8,서울특별시 중랑구 중화1동 148,생활방범,1,200,0,30,2010-03,02-2094-0284,37.6007576,127.0824661,2019-03-11
"서울특별시 중랑구청",서울특별시 중랑구 동일로138길 10,서울특별시 중랑구 중화1동 285-9,생활방범,1,200,0,30,2010-03,02-2094-0284,37.6031685,127.0798798,2019-03-11
"서울특별시 중랑구청",서울특별시 중랑구 봉화산로21길 15,서울특별시 중랑구 중화1동 86-9,생활방범,1,200,0,30,2010-03,02-2094-0284,37.6023827,127.0819168,2019-03-11
"서울특별시 중랑구청",서울특별시 중랑구 봉화산로26길 62,서울특별시 중랑구 중화1동 178-97,생활방범,1,200,0,30,2010-03,02-2094-0284,37.5990257,127.0837021,2019-03-11
"서울특별시 중랑구청",서울특별시 중랑구 동일로144가길 25-20,서울특별시 중랑구 중화1동 274-49,생활방범,1,200,0,30,2010-03,02-2094-0284,37.6066628,127.0817947,2019-03-11
"서울특별시 중랑구청",서울특별시 중랑구 봉화산로35길 22,서울특별시 중랑구 중화1동 445-1,생활방범,1,200,0,30,2010-03,02-2094-0284,37.6036644,127.0857315,2019-03-11
